"CUSTOMER_ID";"FIRST_NAME";"LAST_NAME";"CITY";"STATE";"STREET";"MAIN_PHONE_NUM";"SECONDARY_PHONE_NUM";"FAX";"MONTHLY_DISCOUNT";"PACK_ID";"BIRTH_DATE";"JOIN_DATE"
188;"Domenic";"Morris";"Killeen";"Texas";"3310 Lick Place ";"538.772.7460";"955.660.1883";"766.859.3377";15;13;"2063-01-13";"2006-01-25"
189;"Tyler";"Hall";"New Haven";"Connecticut";"6787 Lick Place ";"529.250.4936";"972.521.8147";"746.689.9722";20;18;"1977-12-18";"2006-08-03"
190;"Errol";"Ward";"Topeka";"Kansas";"2279 Bartlett Street ";"511.448.5701";"959.141.3085";"";6;37;"1989-04-25";"2009-05-26"
191;"Stacey";"Turner";"Thousand Oaks";"California";"8300 Alvarado Street";"572.863.9216";"957.555.9080";"747.920.2671";14;0;"2060-09-05";"2010-06-13"
192;"Davis";"Carter";"Olathe";"Kansas";"6423 Hyde Street";"566.677.2091";"975.346.7938";"";18;0;"1985-07-02";"2006-10-26"
193;"Harrison";"Phillips";"Cedar Rapids";"Iowa";"3375 Griffith Street ";"549.356.9341";"983.183.1399";"730.596.8418";15;0;"1981-02-16";"2005-07-09"
194;"Enrique";"Mitchell";"Waco";"Texas";"7696 King Street";"595.843.8430";"990.480.3639";"767.820.4777";19;1;"1990-09-05";"2005-03-19"
195;"Cory";"Patel";"Visalia";"California";"8780 Spear Street ";"549.108.9476";"978.195.3750";"";29;42;"1982-04-16";"2010-10-01"
196;"Ariel";"Adams";"Elizabeth";"New Jersey";"9862 Sutter Street";"565.479.1416";"994.745.2564";"779.118.7503";29;1;"1980-08-17";"2005-02-22"
197;"Russel";"Campbell";"Simi Valley";"California";"1446 Wallace Avenue";"537.408.7269";"";"720.837.6523";16;18;"1972-12-08";"2001-01-18"
198;"Chadwick";"Anderson";"Gainesville";"Florida";"8862 Donahue Street ";"578.886.8930";"";"736.691.1889";0;13;"2068-03-07";"2006-04-01"
199;"Lucas";"Allen";"Hartford";"Connecticut";"1320 Sunset Boulevard ";"525.154.3329";"939.543.9762";"766.992.2287";13;42;"1973-01-26";"2010-12-24"
200;"Rocky";"Cook";"Bellevue";"Washington";"2042 Treat Avenue ";"584.693.4590";"983.917.6883";"766.471.9788";0;27;"2062-10-05";"2007-08-10"
201;"Antonia";"Bailey";"Mira03";"Florida";"4980 Funston Avenue ";"589.743.5105";"931.267.7501";"715.510.4632";17;0;"2068-02-01";"2008-10-08"
202;"Buddy";"Parker";"Concord";"California";"5770 Galindo Avenue ";"521.259.3813";"958.793.1406";"722.974.9054";21;37;"1978-07-07";"2009-07-03"
203;"Eugenio";"Miller";"Stamford";"Connecticut";"9267 McKinnon Avenue";"544.317.8051";"965.416.8109";"750.892.9278";26;7;"1977-08-27";"2005-05-28"
204;"Burton";"Davis";"Coral Springs";"Florida";"9805 Folsom Street";"595.535.2360";"983.311.7460";"";3;27;"1976-05-05";"2007-06-07"
205;"Rufus";"Murphy";"Charleston";"South Carolina";"3253 Perry Street";"595.693.8699";"936.442.7573";"772.871.5212";28;41;"1983-02-04";"2010-05-04"
206;"Neil";"Price";"Carrollton";"Texas";"1319 Pixley Street ";"546.548.6253";"940.158.8044";"";29;39;"2068-11-19";"2009-03-25"
207;"Garret";"Bell";"Lafayette";"Louisiana";"5282 Phelan Avenue";"582.446.8508";"995.116.6999";"755.135.6800";9;39;"1971-02-03";"2009-01-01"
208;"Art";"Baker";"Roseville";"California";"6386 Larkin Street";"595.520.9406";"996.410.9387";"733.615.4496";26;37;"2069-05-12";"2009-10-05"
209;"Garrett";"Griffiths";"Thornton";"Colorado";"2535 Scott Street ";"523.173.9602";"922.133.5235";"";0;18;"1970-09-27";"2006-02-11"
210;"Damian";"Kelly";"Frisco";"Texas";"3832 Whipple Avenue";"520.951.6402";"942.467.1893";"";26;37;"1985-08-22";"2009-09-13"
211;"Roosevelt";"Simpson";"Kent";"Washington";"4141 Farragut Avenue";"522.964.9354";"";"";27;42;"2069-01-07";"2010-02-25"
212;"Chet";"03shall";"Surprise";"Arizona";"3541 Powell Street";"597.586.4291";"";"";16;27;"2065-06-18";"2007-01-10"
213;"Cornell";"Collins";"Allentown";"Pennsylvania";"7644 Baker Street ";"549.703.1520";"";"792.367.4476";24;41;"1990-02-07";"2010-05-23"
